Nitidez,Red Intensity,Green Intensity,Blue Intensity,Centrado,Orientacion
63.03774725340738,56759.0,64420.0,182120.0,309.0,90.0
64.45052141519122,58015.0,59616.0,185632.0,309.0,90.0
32.586033799235025,58412.0,60927.0,184337.0,312.0,90.0
50.14076866043939,58370.0,63240.0,181678.0,330.0,90.0
45.58869272561602,59070.0,61850.0,182608.0,309.0,90.0
18.2858524828487,78346.0,223021.0,3511.0,307.0,90.0
51.35401719791624,58893.0,60765.0,183775.0,307.0,90.0
34.17268258360757,58915.0,60005.0,185065.0,308.0,90.0
59.43810210227968,57712.0,60128.0,185420.0,308.0,90.0
29.716169693999817,58680.0,60699.0,184723.0,308.0,90.0
27.15812237510681,58684.0,59192.0,185931.0,311.0,90.0
34.0755345831553,57885.0,62373.0,183723.0,311.0,90.0
33.993621457152884,58037.0,62856.0,183439.0,310.0,90.0
496.7141080559625,14970.0,24123.0,16910.0,311.0,90.0
68.24322652815714,58065.0,63652.0,181625.0,307.0,90.0
53.84846512009304,58522.0,62645.0,182216.0,312.0,90.0
50.56715123998855,58950.0,56958.0,187291.0,307.0,90.0
36.411867011006684,59464.0,56751.0,187457.0,309.0,90.0
64.2464512658755,57920.0,60440.0,184784.0,306.0,90.0
43.23281462567647,58700.0,59374.0,185530.0,330.0,90.0
